isBot,submitter,statistics_type,previousWorkflowStep,type,uid,owningItem,scopeType,sortBy,id,owningComm,owner,scopeId,workflowItemId,ip,query,dns,workflowStep,userAgent,actor,referrer,rpp,_version_,sortOrder,bundleName,time,page,epersonid,owningColl
false,,search,,,59080508-3dee-4e0f-a074-de9d5fb09c41,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"author_authority:(b2639e79\\-257b\\-47a7\\-a0ba\\-733fc0cf4e7a),subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821258137612,,,2021-04-11T21:08:11.309Z,,,
false,,search,,,25d9557a-eb87-4395-97df-760d44b3adf1,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Exámenes\,\\ preguntas\,\\ etc.,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821258137613,,,2021-04-11T21:08:12.145Z,,,
false,,search,,,f4207c46-c864-492c-b908-42aa7fd90bbc,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Exámenes\,\\ preguntas\,\\ etc.,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821258137614,,,2021-04-11T21:08:12.575Z,,,
false,,view,,0,94646980-96bc-4445-88e9-5f17ad79b320,a01f2bd3-6ba6-4e18-a658-bdd08a6353c5,,,a645bda6-f188-4a7a-92bc-86e9a1828716,"5261d5b5-ff4e-4da6-9c0a-ebdb5b3df3cf,bd0725a3-060c-4c71-8ec4-1890d5025b68",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,https://www.google.com/,,1720741821259186176,,ORIGINAL,2021-04-11T21:08:12.963Z,,,27738c58-8645-475f-a864-501584c731f6
false,,search,,,9815c74f-5838-4647-a11f-fad2a324b52a,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Ecuaciones\\ diferenciales,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186177,,,2021-04-11T21:08:14.773Z,,,
false,,search,,,b9315333-0349-4e8d-9f97-cc1f0c90e163,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Ecuaciones\\ diferenciales,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186178,,,2021-04-11T21:08:15.247Z,,,
false,,search,,,e9974a92-2b70-4953-9298-70221cc3bea4,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Problemas\,\\ ejercicios\,\\ etc.,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186179,,,2021-04-11T21:08:17.038Z,,,
false,,view,,0,2d7c47f6-4101-4427-8ae9-dc62081aa9ec,08941efd-d087-434f-9eea-dc28ce0600d2,,,dc266a6b-4a69-47d0-ab87-ecb3d0075711,"c82e6e10-9f4d-4d20-ac11-b5b8c5075dc9,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,https://www.google.com/,,1720741821259186180,,ORIGINAL,2021-04-11T21:08:17.045Z,,,b9d8ddaf-92e4-4605-9ca0-ec3fda98a6c4
false,,search,,,373d2c47-07fb-4abc-a297-ba2a7afc0101,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Problemas\,\\ ejercicios\,\\ etc.,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186181,,,2021-04-11T21:08:17.471Z,,,
false,,search,,,6c2464a6-7ce4-4bed-b139-8d8d20d30ded,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Topología,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186182,,,2021-04-11T21:08:18.408Z,,,
false,,search,,,6b9091c0-d42e-492e-bdff-1dcf942734fc,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Topología,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186183,,,2021-04-11T21:08:18.748Z,,,
false,,search,,,b76ba17a-5a0f-4945-9f8e-f021a09eeb58,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Optimización\\ matemática,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186184,,,2021-04-11T21:08:20.579Z,,,
false,,search,,,cc7e8b9f-485c-43bd-a885-41dff3a6c72c,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Optimización\\ matemática,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186185,,,2021-04-11T21:08:20.887Z,,,
false,,search,,,727c4ff9-f7bf-471a-ada7-f8047030c6ee,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Algebras\\ lineales,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186186,,,2021-04-11T21:08:21.829Z,,,
false,,search,,,0b7c42aa-61c7-4152-b590-b8081436b8d0,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Algebras\\ lineales,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186187,,,2021-04-11T21:08:22.137Z,,,
false,,search,,,86f8e7fa-2052-4e16-9a0a-1392eaa69d2b,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Cálculo,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186188,,,2021-04-11T21:08:23.04Z,,,
false,,search,,,01fa7387-121e-4700-9625-93b9dd70d787,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Cálculo,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821259186189,,,2021-04-11T21:08:23.372Z,,,
false,,view,,0,9bf12f76-b980-4eb8-a786-d382f23c941c,70093d89-f3ae-44a9-aa21-158c2116a1f1,,,33618549-64e8-4531-a694-52a195f6658a,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Linux; Android 11; SM-A505G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",,https://www.google.com/,,1720741821259186190,,ORIGINAL,2021-04-11T21:08:23.427Z,,,7b771752-7896-4214-8d67-b8f9e14eddc9
false,,view,,0,bddbf19d-069d-457e-bc12-2de8f15069ab,70093d89-f3ae-44a9-aa21-158c2116a1f1,,,33618549-64e8-4531-a694-52a195f6658a,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Linux; Android 11; SM-A505G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",,https://www.google.com/,,1720741821259186191,,ORIGINAL,2021-04-11T21:08:23.65Z,,,7b771752-7896-4214-8d67-b8f9e14eddc9
false,,view,,0,abdd977d-1657-41aa-b934-75c6470c711f,70093d89-f3ae-44a9-aa21-158c2116a1f1,,,33618549-64e8-4531-a694-52a195f6658a,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Linux; Android 11; SM-A505G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",,https://www.google.com/,,1720741821260234752,,ORIGINAL,2021-04-11T21:08:23.73Z,,,7b771752-7896-4214-8d67-b8f9e14eddc9
false,,view,,0,6bce07b2-9875-4424-ab7d-25b88d17182c,70093d89-f3ae-44a9-aa21-158c2116a1f1,,,33618549-64e8-4531-a694-52a195f6658a,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Linux; Android 11; SM-A505G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",,https://www.google.com/,,1720741821260234753,,ORIGINAL,2021-04-11T21:08:23.875Z,,,7b771752-7896-4214-8d67-b8f9e14eddc9
false,,search,,,b8114328-5c27-48f1-8737-6421a5dbbb8f,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Funciones\\ convexas,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821260234754,,,2021-04-11T21:08:24.323Z,,,
false,,search,,,379f71b3-a67d-46f4-b85f-30d1943062bc,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Funciones\\ convexas,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821260234755,,,2021-04-11T21:08:24.638Z,,,
false,,search,,,f737ff13-8d0f-4eeb-ae1d-f2e4a08c0513,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Indicadores\\ económicos,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821260234756,,,2021-04-11T21:08:25.435Z,,,
false,,search,,,33aa4e35-b0b9-420f-835f-9999dc209775,,4,,,,,80bf2218-b06e-4dcb-ba1a-6cfe3dec7659,,172.16.29.2,"subject_keyword:Indicadores\\ económicos,subject_keyword:Economía\\ matemática",172.16.29.2,,CyotekWebCopy/1.8 CyotekHTTP/2.0,,,,1720741821260234757,,,2021-04-11T21:08:25.734Z,,,
false,,view,,0,ab8f4518-ecdc-4252-93c0-ff2f64325802,70093d89-f3ae-44a9-aa21-158c2116a1f1,,,33618549-64e8-4531-a694-52a195f6658a,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Linux; Android 11; SM-A505G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",,https://www.google.com/,,1720741821260234758,,ORIGINAL,2021-04-11T21:08:26.949Z,,,7b771752-7896-4214-8d67-b8f9e14eddc9
false,,view,,0,9d0f808d-9d3c-4b02-86a1-4c4a9fba65d4,70093d89-f3ae-44a9-aa21-158c2116a1f1,,,33618549-64e8-4531-a694-52a195f6658a,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Linux; Android 11; SM-A505G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",,https://www.google.com/,,1720741821260234759,,ORIGINAL,2021-04-11T21:08:27.228Z,,,7b771752-7896-4214-8d67-b8f9e14eddc9
