isBot,submitter,statistics_type,previousWorkflowStep,type,uid,owningItem,scopeType,sortBy,id,owningComm,owner,scopeId,workflowItemId,ip,query,dns,workflowStep,userAgent,actor,referrer,rpp,_version_,sortOrder,bundleName,time,page,epersonid,owningColl
false,,view,,2,99242ea2-6c9a-433d-a3bd-378bd0a465a2,,,,b698bf5a-072a-4473-af64-56b1aa95e1b3,"b3f11a6d-e7e4-4706-b217-02731d95013e,bd0725a3-060c-4c71-8ec4-1890d5025b68",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",,https://www.google.com.mx/,,1725987402663591936,,,2022-02-28T01:30:56.352Z,,,9eebd7d5-20b8-425b-97bb-256a2e21a3ed
false,,view,,2,20a69c91-b946-45fb-a20a-4c7a9cbfbfae,,,,8e99c7eb-e68f-422f-9308-bdcddc1941bb,"72778ee9-194c-46d9-b6cb-1f514f068f5a,bd0725a3-060c-4c71-8ec4-1890d5025b68",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1042.0 Safari/535.21",,,,1725987406765621248,,,2022-02-28T01:31:00.268Z,,,a35b7926-f72a-4496-993c-45a94ddb0624
false,,view,,2,eb705186-2448-472f-b11c-6a3d33eeb117,,,,7d09450b-8aeb-45cc-b559-e18e7bebd080,"c82e6e10-9f4d-4d20-ac11-b5b8c5075dc9,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,Opera/12.80 (Windows NT 5.1; U; en) Presto/2.10.289 Version/12.02,,,,1725987409079828480,,,2022-02-28T01:31:02.475Z,,,49b3c7c5-055f-4e7c-9c26-88f1335ec7fc
false,,view,,0,e989199f-18f9-4041-80e9-0fafb40e91bb,3b2debfd-35c7-4b51-8cb2-69e0187fabf8,,,c0c6b534-6f95-4e58-9436-3f2070d4387d,"911b5033-fbee-4188-b1f8-48760405c3f4,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.70",,https://repository.urosario.edu.co/bitstream/handle/10336/4912/PescadorZambrano-JuanDavid-2013.pdf?s,,1725987409323098112,,ORIGINAL,2022-02-28T01:31:02.707Z,,,20591719-97a9-430b-96e0-ee4357d61a59
false,,view,,2,6af1817c-b2b6-459e-ac21-c0f018e5eed9,,,,e45e967c-c389-4abf-8d11-265f7a74ac02,"a494128d-578d-4d1e-a68d-224c77daaac5,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,Opera/12.0(Windows NT 5.2;U;en)Presto/22.9.168 Version/12.00,,,,1725987415823220736,,,2022-02-28T01:31:08.903Z,,,99926330-d98c-4a2d-b850-79c0d3e0d25b
false,,view,,0,1c501145-58a6-4f38-b616-0f92a65c0cf6,40e922c7-db74-4427-b88f-0f3b129119d1,,,c47b6a90-c16f-4c0c-b39c-86ec12873a2c,613643f7-7039-4ae2-8191-5ce5cf0ebda8,,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",,,,1725987420901474304,,THUMBNAIL,2022-02-28T01:31:13.748Z,,,05ebe565-c9eb-4a92-8b0a-c09c2cd34b9f
false,,view,,4,588aeaa4-d10b-425a-898f-0923388c320f,,,,267b3c98-897a-43a0-b64e-074dce3ad11e,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2,,,,172.16.29.2,,172.16.29.2,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,https://repository.urosario.edu.co/handle/10336/561,,1725987422895865856,,,2022-02-28T01:31:15.651Z,,b09b5a6b-0de5-4144-b873-bf30dacadb00,
false,,view,,0,d25300eb-2646-484d-a2a0-c1015b109c5e,b6a46465-3399-4d36-a585-986013a430b4,,,eabcab39-0fe1-4297-a40f-16916690b857,"267b3c98-897a-43a0-b64e-074dce3ad11e,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,https://repository.urosario.edu.co/handle/10336/18067,,1725987428469047296,,THUMBNAIL,2022-02-28T01:31:20.964Z,,b09b5a6b-0de5-4144-b873-bf30dacadb00,633f13b9-283d-4da4-ab65-1c0f0ad6d476
false,,view,,2,10c13346-72ec-4b53-8382-86e497ffae16,,,,7b9c3e8c-ce18-4f68-9dfa-a40d76632d67,"c82e6e10-9f4d-4d20-ac11-b5b8c5075dc9,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,Opera/9.80 (Windows NT 5.1; U; MRA 5.5 (build 02842); ru) Presto/2.7.62 Version/11.00,,,,1725987437980680192,,,2022-02-28T01:31:30.035Z,,,49b3c7c5-055f-4e7c-9c26-88f1335ec7fc
false,,view,,2,a4cf2f53-d13d-4b5e-a3a4-86cc5ca6db06,,,,9b0076ee-76d5-4ea4-983b-6936d857d638,"c82e6e10-9f4d-4d20-ac11-b5b8c5075dc9,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; SLCC1; .NET CLR 1.1.4322),,,,1725987445446541312,,,2022-02-28T01:31:37.155Z,,,b9d8ddaf-92e4-4605-9ca0-ec3fda98a6c4
false,,view,,0,5f70ef9e-bd96-4630-aba7-7e5fd98aef16,e85bed82-beab-4b16-89c8-78eb230a048e,,,d4ccdac4-63d4-422a-8dd0-a7a18e04ce76,613643f7-7039-4ae2-8191-5ce5cf0ebda8,,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",,,,1725987449331515392,,THUMBNAIL,2022-02-28T01:31:40.862Z,,,05ebe565-c9eb-4a92-8b0a-c09c2cd34b9f
false,,view,,0,92bd5b76-eecf-42ae-88b4-09ffacd38e5c,019cd6e3-720f-4197-8d79-5ef36c729b94,,,591cf151-ad16-494f-bb7e-46ddd0f4599d,613643f7-7039-4ae2-8191-5ce5cf0ebda8,,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",,,,1725987480531894272,,THUMBNAIL,2022-02-28T01:32:10.605Z,,,fed6ef50-9ced-4543-a103-19392c0c9b77
false,,view,,2,132c35d2-82a7-4e19-8d3e-8ff4e8a45c92,,,,51fcfabc-4dcd-468e-adf1-8f5a86f5c3a7,"c82e6e10-9f4d-4d20-ac11-b5b8c5075dc9,8c410bc0-6fe9-4832-a1fe-6e6463bb8ff2",,,,172.16.29.2,,172.16.29.2,,"Mozilla/5.0 (Windows NT 6.0) yi; AppleWebKit/345667.12221 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/453667.1221",,,,1725987492612538368,,,2022-02-28T01:32:22.135Z,,,b9d8ddaf-92e4-4605-9ca0-ec3fda98a6c4
false,,view,,2,92186679-9b38-4471-961e-246f82505286,,,,fe3b2b3d-2434-4eb4-82ed-6c72a199415e,"72778ee9-194c-46d9-b6cb-1f514f068f5a,bd0725a3-060c-4c71-8ec4-1890d5025b68",,,,172.16.29.2,,172.16.29.2,,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.4; InfoPath.2; SV1; .NET CLR 3.3.69573; WOW64; en-US),,,,1725987500241977344,,,2022-02-28T01:32:29.412Z,,,a6ec3487-61d1-4f84-8e12-419284c94c66
